Population	Exomes	Genomes	Total
AFR	7652	4368	12020
AMR	16791	419	17210
ASJ	4925	151	5076
EAS	8624	811	9435
FIN	11150	1747	12897
NFE	55860	7509	63369
SAS	15391	0	15391
OTH	2743	491	3234
Total	123136	15496	138632
