Population	Exomes	Genomes	Total
afr	0	21042	21042
ami	0	450	450
amr	0	6835	6835
asj	0	1662	1662
eas	0	1567	1567
fin	0	5244	5244
nfe	0	32299	32299
sas	0	1526	1526
oth	0	1077	1077
Total	0	71702	71702
